model,r2_test,r2_train,mae,rmse,best_params,train_time_sec,memory_peak_mb
LinearRegression,0.37015216127141404,0.6701999491469892,0.13819216738341492,0.18333654488891832,{'model__fit_intercept': True},2.1010582447052,1.8388671875
Ridge,0.27295213961230136,0.6390492400098005,0.1574418792194482,0.19697573111340563,{'model__alpha': np.float64(83.69233516215134)},2.217700958251953,1.8620195388793945
Lasso,-2.3122719556454614,0.0,0.3908981481481482,0.4204305002679463,{'model__alpha': np.float64(6.086837970214009)},2.2274129390716553,1.7899274826049805
XGBRegressor,0.7103475396765591,0.9729391045586019,0.06950780818516956,0.12432825313090402,"{'model__subsample': 0.8, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0, 'model__colsample_bytree': 0.6}",7.466852426528931,1.8193330764770508
OrdinalRidge,-1.485875706214689,0.011494252873563204,0.040740740740740744,0.2018433569398328,{'model__alpha': np.float64(6.392467444733061)},2.1907904148101807,1.8089790344238281
LogisticAT,-2.841807909604519,0.04105090311986859,0.06296296296296296,0.25092421756969363,{'model__alpha': np.float64(0.2695922892433338)},3.0925228595733643,1.8232288360595703
