mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__alpha,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree
0.03816342353820801,0.007150383014786511,0.013837432861328125,0.002963662780370223,True,{'model__fit_intercept': True},0.0,-4.147705730386038,-0.31023568080650854,-0.7827473578644288,0.0,-1.048137753811395,1.5760354485189991,1,LinearRegression,,,,,,,,,,
0.03094339370727539,0.008887647983014271,0.010769891738891601,0.0029925672594145847,False,{'model__fit_intercept': False},0.0,-4.282414089259299,-0.3466500981221776,-0.7402658346904225,0.0,-1.0738660044143797,1.627346874593124,2,LinearRegression,,,,,,,,,,
0.016556453704833985,0.0006522349295271187,0.006940793991088867,0.00045300823494363683,,{'model__alpha': np.float64(70.62469660772491)},0.0,-3.4810463798301674,-0.18376410419039746,-0.952407578149681,0.0,-0.9234436124340493,1.3262573515504692,13,Ridge,70.62469660772491,,,,,,,,,
0.020239830017089844,0.005053597149296425,0.0069634437561035155,0.0011335074245735688,,{'model__alpha': np.float64(8.849927424618217)},0.0,-3.972280197575258,-0.27732256727432203,-0.7928166254862845,0.0,-1.008483878067173,1.5099190252731163,44,Ridge,8.849927424618217,,,,,,,,,
0.020127344131469726,0.00499265604309279,0.00843348503112793,0.0020920446826794806,,{'model__alpha': np.float64(46.19833983890801)},0.0,-3.587450553170834,-0.20501189327642244,-0.8824059477769106,0.0,-0.9349736788448334,1.365254020601248,27,Ridge,46.19833983890801,,,,,,,,,
0.022127246856689452,0.004417417273310889,0.008866262435913087,0.0022870799376875075,,{'model__alpha': np.float64(50.65423286126949)},0.0,-3.5628373502397626,-0.2002274939689841,-0.8950749712093562,0.0,-0.9316279630836206,1.3561273487171728,23,Ridge,50.65423286126949,,,,,,,,,
0.017608213424682616,0.0028272810295684003,0.008003330230712891,0.0015727824646883735,,{'model__alpha': np.float64(0.932846276134011)},0.0,-4.126694784499152,-0.3062683841325009,-0.7834287468880323,0.0,-1.0432783831039372,1.5681212864904528,50,Ridge,0.932846276134011,,,,,,,,,
0.01930966377258301,0.005021537095200355,0.008716058731079102,0.0015615568239868607,,{'model__alpha': np.float64(56.99993496505773)},0.0,-3.5323069113363594,-0.19420775858180628,-0.9132727288782025,0.0,-0.9279574797592737,1.3448754905547728,20,Ridge,56.99993496505773,,,,,,,,,
0.01863265037536621,0.0014066097602393828,0.006967353820800781,0.0008235672847961848,,{'model__alpha': np.float64(95.6377700164099)},0.0,-3.4213624558754328,-0.1704422913776753,-1.0223077583148505,0.0,-0.9228225011135918,1.3055173640413258,9,Ridge,95.6377700164099,,,,,,,,,
0.01931166648864746,0.0028651607036984886,0.007928133010864258,0.0013992300096615751,,{'model__alpha': np.float64(4.8885230421562085)},0.0,-4.044539178225993,-0.29083122265698536,-0.7873695214499483,0.0,-1.0245479844665852,1.5371621817630536,45,Ridge,4.8885230421562085,,,,,,,,,
0.017431259155273438,0.0007072992127775986,0.00668487548828125,0.0008316916645945305,,{'model__alpha': np.float64(89.85248848766258)},0.0,-3.432212473795815,-0.17303099892190033,-1.0064785650030657,0.0,-0.9223444075441563,1.3091543272691897,5,Ridge,89.85248848766258,,,,,,,,,
0.015286779403686524,0.0012230194418743352,0.006751871109008789,0.0013577555273418635,,{'model__alpha': np.float64(90.87347811301197)},0.0,-3.4301893048225907,-0.17255631238922953,-1.0092888330587222,0.0,-0.9224068900541085,1.3084697888988674,6,Ridge,90.87347811301197,,,,,,,,,
0.02269158363342285,0.0030866940861259476,0.009453678131103515,0.0011123311183103392,,{'model__alpha': np.float64(58.9932324709699)},0.0,-3.5236849550111975,-0.19248580495076606,-0.9190067382808476,0.0,-0.9270354996485622,1.3417157481554813,18,Ridge,58.9932324709699,,,,,,,,,
0.021563005447387696,0.0033980521393682166,0.008688974380493163,0.0006780742658986686,,{'model__alpha': np.float64(27.10089661872391)},0.0,-3.73354053307966,-0.2327491904779424,-0.8309520989006689,0.0,-0.9594483644916544,1.4199487785026448,34,Ridge,27.10089661872391,,,,,,,,,
0.023842763900756837,0.003351543164631427,0.009176397323608398,0.002138845052822079,,{'model__alpha': np.float64(12.095248621235719)},0.0,-3.919542281612479,-0.26748509633246,-0.7982199989282515,0.0,-0.9970494753746382,1.4900320036209127,43,Ridge,12.095248621235719,,,,,,,,,
0.019793224334716798,0.002737635112803553,0.007468748092651367,0.0008933070859748511,,{'model__alpha': np.float64(13.562879055304508)},0.0,-3.8974016222062113,-0.26335743556255364,-0.8009051462636358,0.0,-0.9923328408064801,1.4816830472296005,40,Ridge,13.562879055304508,,,,,,,,,
0.022643470764160158,0.002267653221769705,0.007941770553588866,0.0006348305814260399,,{'model__alpha': np.float64(34.963695004916715)},0.0,-3.6640474039788797,-0.2196536558886648,-0.8513412540153613,0.0,-0.9470084627765811,1.3938542172756632,31,Ridge,34.963695004916715,,,,,,,,,
0.020442867279052736,0.0037558267711323232,0.00773463249206543,0.0011186841155599117,,{'model__alpha': np.float64(46.63444700865108)},0.0,-3.5849137735044643,-0.2045210887161013,-0.8836399607271797,0.0,-0.9346149645895491,1.3643115156892833,26,Ridge,46.63444700865108,,,,,,,,,
0.022930097579956055,0.004823336286998665,0.00919342041015625,0.001990902760731622,,{'model__alpha': np.float64(4.104122910916938)},0.0,-4.059986086608448,-0.29372601017823285,-0.7864605145956896,0.0,-1.028034522276474,1.5429845908865345,46,Ridge,4.104122910916938,,,,,,,,,
0.01997690200805664,0.0026598579109949794,0.00827183723449707,0.001409357328690538,,{'model__alpha': np.float64(13.470416535747429)},0.0,-3.8987668853260518,-0.26361194663355847,-0.8007318676465602,0.0,-0.9926221399212342,1.4821978575803325,41,Ridge,13.470416535747429,,,,,,,,,
0.02040548324584961,0.0028563902119002342,0.008237409591674804,0.0011524465510354515,,{'model__alpha': np.float64(56.45741588840081)},0.0,-3.5347292940064294,-0.19468960287067594,-0.9117128971035622,0.0,-0.9282263587961335,1.3457648207839632,21,Ridge,56.45741588840081,,,,,,,,,
0.020138978958129883,0.0026358104393493,0.007984209060668945,0.001201649340210727,,{'model__alpha': np.float64(31.958721115438756)},0.0,-3.688817418489127,-0.22433584248166238,-0.843374317760679,0.0,-0.9513055157462936,1.403144314429733,32,Ridge,31.958721115438756,,,,,,,,,
0.019386100769042968,0.003129772424651662,0.007696533203125,0.0014373749795076542,,{'model__alpha': np.float64(81.34439387310024)},0.0,-3.45110335660155,-0.17732381053261514,-0.9828007834024883,0.0,-0.9222455901073306,1.3156573147459594,3,Ridge,81.34439387310024,,,,,,,,,
0.017937517166137694,0.0020740269933553364,0.006819629669189453,0.0007925230183325727,,{'model__alpha': np.float64(69.76306272826687)},0.0,-3.4838054072089486,-0.18434156531327206,-0.949943640293577,0.0,-0.9236181225631596,1.327246975215931,15,Ridge,69.76306272826687,,,,,,,,,
0.022130537033081054,0.00263636292972377,0.009135580062866211,0.0010665149664484906,,{'model__alpha': np.float64(13.260569770883887)},0.0,-3.901879961767504,-0.26419228688954144,-0.8003406174861061,0.0,-0.9932825732286302,1.4833717371646462,42,Ridge,13.260569770883887,,,,,,,,,
0.024336576461791992,0.0029344434624770017,0.010332965850830078,0.00031676305698803724,,{'model__alpha': np.float64(22.554956436547755)},0.0,-3.7814142370983745,-0.24171530036308964,-0.819981229443536,0.0,-0.9686221533810002,1.4379669506283799,35,Ridge,22.554956436547755,,,,,,,,,
0.024495553970336915,0.003563241628856181,0.009362411499023438,0.001392078022356708,,{'model__alpha': np.float64(15.623238218408538)},0.0,-3.867968428433027,-0.2578703439191945,-0.8049015641592765,0.0,-0.9861480673022995,1.470585145606565,39,Ridge,15.623238218408538,,,,,,,,,
0.025374889373779297,0.003072921577587188,0.010041952133178711,0.0006816038504399376,,{'model__alpha': np.float64(30.896058907760967)},0.0,-3.6980843281228566,-0.2260829692630022,-0.8406046587153702,0.0,-0.9529543912202458,1.406623406631846,33,Ridge,30.896058907760967,,,,,,,,,
0.02398533821105957,0.0016243656835564153,0.008724451065063477,0.0014916403413564243,,{'model__alpha': np.float64(72.98215600244436)},0.0,-3.4737851358552225,-0.18223317126017013,-0.9591354106269792,0.0,-0.9230307435484744,1.3236618954277233,11,Ridge,72.98215600244436,,,,,,,,,
